nameuser,ipint,usergroup,country,usermac,userworkstation,firstname,lastname,usercity
cody,10.10.11.83,Users,fr,89:24:61:52:4E:91,ws-cody,Cody,Cody,Paris
rex,10.16.170.73,Users,in,67:E9:56:45:F9:F7,ws-rex,Rex,Rex,Bangalore
jar-jar,10.12.45.193,Users,au,15:F5:26:68:50:79,ws-jar-jar,Jar-Jar,Jar-Jar,Melbourne
r2-d2,10.1.66.102,Users,us,24:98:E0:88:C8:87,ws-r2-d2,R2-D2,R2-D2,Boston
padme,10.7.201.237,Users,ie,D1:2B:F1:DC:52:F3,ws-padme,Padme,Padme,Dublin
mace,10.13.104.243,Users,sg,DB:23:93:EE:30:CF,ws-mace,Mace,Mace,Singapore
yoda,10.9.203.30,Users,de,A4:74:CF:8E:7E:F6,ws-yoda,Yoda,Yoda,Munich
grogu,10.8.237.38,Users,ie,97:50:9B:9D:B8:3F,ws-grogu,Grogu,Grogu,Galway
mando,10.12.122.99,Users,au,E5:F8:73:51:2B:29,ws-mando,Mando,Mando,Melbourne
ahsoka,10.5.20.200,Users,gb,C1:B7:B1:84:B2:95,ws-ahsoka,Ahsoka,Ahsoka,Reading
anakin,10.16.120.123,Users,in,24:45:41:7C:41:71,ws-anakin,Anakin,Anakin,Bangalore
obi-wan,10.12.214.228,Users,au,B6:61:E0:54:98:86,ws-obi-wan,Obi-Wan,Obi-Wan,Melbourne
qui-gon,10.8.147.168,Users,ie,B4:B8:56:EA:66:74,ws-qui-gon,Qui-Gon,Qui-Gon,Galway
darth-vador,10.16.187.80,Users,in,9A:29:E4:A4:05:F2,ws-darth-vador,Darth-Vador,Darth-Vador,Bangalore
luella_stuart,10.9.94.148,AWS,de,46:05:35:C4:2E:0C,ws-luella_stuart,LUELLA,STUART,Munich
mitzi_medina,10.10.64.180,ServiceAccounts,fr,78:3A:FA:34:AB:CE,ws-mitzi_medina,MITZI,MEDINA,Paris
audra_andrews,10.4.168.178,Groups,us,37:CA:F7:C3:99:64,ws-audra_andrews,AUDRA,ANDREWS,Tampa
owen_hubbard,10.9.91.63,Devices,de,F9:D0:1F:E2:F4:D7,ws-owen_hubbard,OWEN,HUBBARD,Munich
peggy_cooper,10.15.30.221,Groups,jp,90:7D:26:1E:B0:06,ws-peggy_cooper,PEGGY,COOPER,Tokyo
sherman_pickett,10.12.248.204,Devices,au,42:52:77:96:2E:4E,ws-sherman_pickett,SHERMAN,PICKETT,Melbourne
kenya_salinas,10.8.211.60,T1-Devices,ie,35:21:6B:E0:A6:CC,ws-kenya_salinas,KENYA,SALINAS,Galway
ruby_reese,10.4.72.203,TST,us,9F:72:43:7D:90:CE,ws-ruby_reese,RUBY,REESE,Tampa
twila_curry,10.15.233.232,GOO,jp,A1:19:7B:F5:D9:D3,ws-twila_curry,TWILA,CURRY,Tokyo
fannie_barker,10.4.216.140,.SecFrame.com,us,3E:E6:3C:AA:A6:05,ws-fannie_barker,FANNIE,BARKER,Tampa
doyle_dodson,10.9.188.67,Test,de,06:EC:71:D1:7A:BF,ws-doyle_dodson,DOYLE,DODSON,Munich
wilton_chan,10.2.33.69,ITS,us,B8:F6:DF:D5:91:3F,ws-wilton_chan,WILTON,CHAN,Arlington
jan_love,10.14.108.4,Test,il,40:10:48:7E:21:04,ws-jan_love,JAN,LOVE,Tel Aviv
tanya_schroeder,10.4.131.91,Devices,us,72:96:AF:EF:32:9B,ws-tanya_schroeder,TANYA,SCHROEDER,Tampa
deana_waller,10.9.146.59,ServiceAccounts,de,BB:A4:0F:61:A6:E5,ws-deana_waller,DEANA,WALLER,Munich
anita_stafford,10.7.235.244,ServiceAccounts,ie,DA:DA:E1:BE:B9:C1,ws-anita_stafford,ANITA,STAFFORD,Dublin
juan_ruiz,10.10.84.22,FIN,fr,0B:B5:79:05:1D:F7,ws-juan_ruiz,JUAN,RUIZ,Paris
wilfredo_kidd,10.12.251.120,T0-Devices,au,19:7B:53:9A:69:1A,ws-wilfredo_kidd,WILFREDO,KIDD,Melbourne
carmella_figueroa,10.2.8.188,ESM,us,3C:9F:35:6F:76:4A,ws-carmella_figueroa,CARMELLA,FIGUEROA,Arlington
jonathan_carlson,10.9.222.163,Devices,de,56:D1:80:8D:46:9C,ws-jonathan_carlson,JONATHAN,CARLSON,Munich
jewell_wheeler,10.13.69.203,Test,sg,F4:F6:92:A1:BB:EB,ws-jewell_wheeler,JEWELL,WHEELER,Singapore
josefina_middleton,10.11.110.118,FIN,cz,5E:AC:A4:34:7B:B8,ws-josefina_middleton,JOSEFINA,MIDDLETON,Prague
alexis_leach,10.2.73.9,ITS,us,7E:A4:94:11:31:82,ws-alexis_leach,ALEXIS,LEACH,Arlington
issac_holman,10.7.37.240,Groups,ie,77:4F:FA:C7:43:07,ws-issac_holman,ISSAC,HOLMAN,Dublin
christy_clements,10.1.209.186,ServiceAccounts,us,FE:09:6F:69:16:EE,ws-christy_clements,CHRISTY,CLEMENTS,Boston
hester_williamson,10.16.176.21,People,in,6F:14:A6:E5:70:23,ws-hester_williamson,HESTER,WILLIAMSON,Bangalore
ginger_bailey,10.8.156.69,Tier 2,ie,25:3E:B0:A9:36:C1,ws-ginger_bailey,GINGER,BAILEY,Galway
casey_brady,10.1.182.242,Devices,us,49:16:B2:97:3F:F6,ws-casey_brady,CASEY,BRADY,Boston
_,10.3.117.159,AZR,us,08:42:1B:41:E6:C1,ws-_,,,Austin
mariana_hood,10.1.238.174,HRE,us,1E:96:35:41:59:F9,ws-mariana_hood,MARIANA,HOOD,Boston
alyson_carter,10.13.193.30,Test,sg,D2:1D:DA:2E:20:4C,ws-alyson_carter,ALYSON,CARTER,Singapore
linwood_swanson,10.7.116.233,Test,ie,B1:F6:6C:42:7A:7A,ws-linwood_swanson,LINWOOD,SWANSON,Dublin
kristopher_carter,10.8.125.208,Groups,ie,14:68:9F:BC:0D:04,ws-kristopher_carter,KRISTOPHER,CARTER,Galway
roseann_fleming,10.5.135.172,ServiceAccounts,gb,11:9F:0F:68:EE:EA,ws-roseann_fleming,ROSEANN,FLEMING,Reading
jeannie_solis,10.15.130.51,.SecFrame.com,jp,C9:C4:49:37:A1:DB,ws-jeannie_solis,JEANNIE,SOLIS,Tokyo
violet_carpenter,10.5.36.54,ServiceAccounts,gb,86:78:E8:38:DF:F1,ws-violet_carpenter,VIOLET,CARPENTER,Reading
leroy_ball,10.7.239.122,Test,ie,EC:A5:4D:5A:BB:59,ws-leroy_ball,LEROY,BALL,Dublin
peter_leon,10.3.189.15,Devices,us,30:A3:0F:97:7B:8C,ws-peter_leon,PETER,LEON,Austin
benny_vang,10.1.81.106,Test,us,C3:5A:66:77:99:09,ws-benny_vang,BENNY,VANG,Boston
federico_stokes,10.8.199.167,Groups,ie,21:46:9E:E6:72:28,ws-federico_stokes,FEDERICO,STOKES,Galway
nadine_thornton,10.11.13.100,T0-Devices,cz,E6:56:B8:15:56:C5,ws-nadine_thornton,NADINE,THORNTON,Prague
dana_macdonald,10.11.57.123,ServiceAccounts,cz,86:60:24:4E:07:C1,ws-dana_macdonald,DANA,MACDONALD,Prague
jennie_nielsen,10.10.17.109,Groups,fr,0B:0E:E2:BE:2E:E2,ws-jennie_nielsen,JENNIE,NIELSEN,Paris
manuel_jacobs,10.15.40.198,Groups,jp,01:E5:3D:54:7E:FB,ws-manuel_jacobs,MANUEL,JACOBS,Tokyo
adam_cabrera,10.4.235.70,Test,us,48:67:98:42:25:26,ws-adam_cabrera,ADAM,CABRERA,Tampa
kareem_macias,10.12.234.209,Devices,au,4E:DB:7D:0C:E6:EF,ws-kareem_macias,KAREEM,MACIAS,Melbourne
sheree_stevens,10.10.229.236,ITS,fr,5E:D0:30:88:04:74,ws-sheree_stevens,SHEREE,STEVENS,Paris
rupert_hooper,10.5.143.169,Groups,gb,A7:F5:01:80:D2:CC,ws-rupert_hooper,RUPERT,HOOPER,Reading
jonah_mathis,10.11.237.85,BDE,cz,68:A1:2A:FA:84:C1,ws-jonah_mathis,JONAH,MATHIS,Prague
bradley_wyatt,10.14.7.98,Groups,il,F5:68:C4:77:BE:F7,ws-bradley_wyatt,BRADLEY,WYATT,Tel Aviv
darnell_wong,10.2.68.100,Devices,us,F4:59:06:9B:9A:32,ws-darnell_wong,DARNELL,WONG,Arlington
rupert_burns,10.13.194.18,Devices,sg,7B:99:62:7A:70:C1,ws-rupert_burns,RUPERT,BURNS,Singapore
myrtle_davidson,10.8.252.239,FIN,ie,8B:2F:FB:B5:87:C3,ws-myrtle_davidson,MYRTLE,DAVIDSON,Galway
