nameuser,ipint,usergroup,country,usermac,userworkstation,firstname,lastname,usercity
cody,10.10.129.45,Users,fr,4E:B6:6B:93:A9:25,ws-cody,Cody",Cody",Paris
rex,10.3.152.85,Users,us,F4:E0:02:A1:A8:D7,ws-rex,Rex",Rex",Austin
jar-jar,10.12.77.137,Users,au,DF:DC:24:F2:BC:C0,ws-jar-jar,Jar-Jar",Jar-Jar",Melbourne
r2-d2,10.11.184.209,Users,cz,CC:3D:70:A5:59:92,ws-r2-d2,R2-D2",R2-D2",Prague
padme,10.9.9.84,Users,de,B1:5A:C2:C5:3E:98,ws-padme,Padme",Padme",Munich
mace,10.11.220.156,Users,cz,AC:F6:72:26:2C:95,ws-mace,Mace",Mace",Prague
yoda,10.10.40.213,Users,fr,D7:21:60:5C:37:01,ws-yoda,Yoda",Yoda",Paris
grogu,10.14.87.251,Users,il,67:50:B0:00:99:CF,ws-grogu,Grogu",Grogu",Tel Aviv
mando,10.11.192.40,Users,cz,F4:94:34:D3:B0:3D,ws-mando,Mando",Mando",Prague
ahsoka,10.6.97.35,Users,ie,98:3D:EE:09:65:D6,ws-ahsoka,Ahsoka",Ahsoka",Belfast
anakin,10.13.253.120,Users,sg,43:37:F3:E7:B5:76,ws-anakin,Anakin",Anakin",Singapore
obi-wan,10.4.155.205,Users,us,23:38:BA:17:D7:D3,ws-obi-wan,Obi-Wan",Obi-Wan",Tampa
qui-gon,10.15.88.227,Users,jp,F6:F6:48:EE:FA:DA,ws-qui-gon,Qui-Gon",Qui-Gon",Tokyo
darth-vador,10.2.100.113,Users,us,59:8F:7E:52:19:FB,ws-darth-vador,Darth-Vador",Darth-Vador",Arlington
denny_foster,10.1.3.17,ServiceAccounts,us,4B:E7:3F:74:83:A6,ws-denny_foster,DENNY,FOSTER,Boston
vern_montgomery,10.16.179.77,T1-Permissions,in,95:7E:C0:19:35:FA,ws-vern_montgomery,VERN,MONTGOMERY,Bangalore
rafael_barrett,10.1.175.36,Test,us,32:6D:A6:FA:37:7F,ws-rafael_barrett,RAFAEL,BARRETT,Boston
christian_price,10.1.89.9,AZR,us,32:E7:20:B6:5C:D3,ws-christian_price,CHRISTIAN,PRICE,Boston
rosetta_ramos,10.8.122.150,Test,ie,FC:79:58:4F:6F:D0,ws-rosetta_ramos,ROSETTA,RAMOS,Galway
leonor_lucas,10.2.126.210,ESM,us,CA:7E:F7:AF:02:B7,ws-leonor_lucas,LEONOR,LUCAS,Arlington
norberto_knapp,10.11.234.154,.SecFrame.com,cz,7E:74:95:1A:AC:8C,ws-norberto_knapp,NORBERTO,KNAPP,Prague
danial_bowen,10.6.130.85,Devices,ie,51:61:A1:36:81:41,ws-danial_bowen,DANIAL,BOWEN,Belfast
chandra_conner,10.13.7.78,People,sg,9A:4D:B4:15:38:4D,ws-chandra_conner,CHANDRA,CONNER,Singapore
selena_peterson,10.12.111.156,Test,au,C8:A2:9A:AE:B0:D7,ws-selena_peterson,SELENA,PETERSON,Melbourne
hilda_lyons,10.7.103.116,Test,ie,85:FF:AC:C9:F4:12,ws-hilda_lyons,HILDA,LYONS,Dublin
hallie_whitney,10.6.217.110,Groups,ie,83:DB:1E:08:1E:9A,ws-hallie_whitney,HALLIE,WHITNEY,Belfast
frances_stephenson,10.9.25.7,AWS,de,E0:4A:FD:E5:4F:E6,ws-frances_stephenson,FRANCES,STEPHENSON,Munich
issac_dominguez,10.14.157.34,ServiceAccounts,il,7B:67:F4:E9:0E:99,ws-issac_dominguez,ISSAC,DOMINGUEZ,Tel Aviv
lindsey_harmon,10.12.228.37,ServiceAccounts,au,2F:52:81:C8:34:0F,ws-lindsey_harmon,LINDSEY,HARMON,Melbourne
juanita_shepherd,10.4.182.42,Groups,us,B0:69:94:6B:7A:AD,ws-juanita_shepherd,JUANITA,SHEPHERD,Tampa
leona_ward,10.16.16.210,FIN,in,FE:B0:7D:B3:21:01,ws-leona_ward,LEONA,WARD,Bangalore
phil_garrett,10.2.244.163,T2-Roles,us,56:47:B2:6D:01:02,ws-phil_garrett,PHIL,GARRETT,Arlington
marco_nunez,10.12.12.214,Groups,au,5C:BB:AF:50:F5:26,ws-marco_nunez,MARCO,NUNEZ,Melbourne
sheena_bennett,10.14.65.65,Groups,il,6D:E2:99:19:F5:2E,ws-sheena_bennett,SHEENA,BENNETT,Tel Aviv
jon_whitehead,10.15.203.79,Groups,jp,AD:B7:BF:75:78:C3,ws-jon_whitehead,JON,WHITEHEAD,Tokyo
